"Nome Urna			Partido"
"RAFAEL PRUDENTE			MDB"
"RAFAEL SILVA			PV"
"RAFAEL VASCONCELLOS			PPS"
"RAIMUNDO ACQUACERRADO			PROS"
"RAIMUNDO CANUTO			REDE"
"RAIMUNDO NONATO DOS SANTOS			PSDB"
"RAIMUNDO RIBEIRO			MDB"
"RAISSA ROSSITER			PSB"
"RANGEL JACARÉ			PDT"
"RANI NÓBREGA			PMB"
"RAPHAEL SEBBA			PSOL"
"RAQUEL BOGÉA			PRB"
"RAY			PSB"
"RAY RUA BRASIL			PRP"
"REGINA LACERDA			PODE"
"REGINALDO GOUVEIA			PSL"
"REGINALDO SARDINHA			AVANTE"
"REGINA TOMÉ			PT"
"REGIS MACHADO			PRP"
"RENATA			PODE"
"RENATA D'AGUIAR			PP"
"RENATA DINIZ			NOVO"
"RENATINHO			PP"
"RENILSON ROMA			AVANTE"
"RENNEZÃO			PTB"
"RICARDO BRANDAO			PTB"
"RICARDO LUCAS			PC do B"
"RICARDO NEGREIROS			PROS"
"RICARDO PATO			PSC"
"RICARDO PAZ			PATRI"
"RICARDO TOBÉ			AVANTE"
"RICARDO TROVAO			PR"
"RICARDO VALE			PT"
"RICHARD BANHARA			PSDB"
"RICHARD BARROS			PSB"
"RICHARD DA SAÚDE			PMB"
"RICHARDE BRAGA			PSL"
"RISOMAR CARVALHO			PSD"
"RITA ANDRADE			PSOL"
"RITA SIQUEIRA			PRTB"
"RIVANE			PODE"
"ROBÉRIO NEGREIROS			PSD"
"ROBERTA MONZINI			PPL"
"ROBERTA VIANA			PR"
"ROBERTO AMIGO DE TODOS			PRB"
"ROBERTO EUSTAQUIO			PR"
"ROBERTO RIBEIRO			NOVO"
"RODOLPHO HOTH HOTH			MDB"
"RODRIGO BRITTO			PT"
"RODRIGO DIAS			PSB"
"RODRIGO MANDARIN			PPL"
"RODRIGO MARQUES			PSB"
"RODRIGO PASSOS			PPL"
"RODRIGO SCARPA			PSDB"
"RODRIGO VIANA			PSC"
"ROGÉRIO MORRO DA CRUZ			AVANTE"
"ROGERIO VIEIRA			DC"
"ROMAN DF			PSL"
"ROMMEINE			DEM"
"RONALD			MDB"
"RONALDE LINS			PPL"
"RONALDO			DC"
"RONALDO CAMELÔ			PMB"
"RONALDO CARMO			PT"
"RÔNEI CATADOR			PDT"
"RONEIDE PAIVA			PMB"
"ROOSEVELT VILELA			PSB"
"ROSALICE			MDB"
"ROSALVO BRASILEIRO			PSB"
"ROSA MARTINS			PROS"
"ROSE SOUZA			PMN"
"ROSSI			PSDB"
"RUAN			MDB"
"RUBÃO			PRB"
"RUBENS BIAS			PSOL"
"SAIONARA CORTES			PHS"
"SALVE JORGE			PMB"
"SAMARA BRITO			PROS"
"SAMIO BANDEIRA			PATRI"
"SAMUEL LEANDRO			DEM"
"SAMUEL MUNIZ			PP"
"SANCHES			NOVO"
"SANDOVAL ALENCAR			PTC"
"SANDRA FARAJ			PR"
"SANDRO BERGAMIM			PP"
"SANTA ALVES			PC do B"
"SARAH AIDAR			PSL"
"SARGENTO ALZIRO NETO			PTB"
"SARGENTO MOACIR			PMN"
"SAULO COSTA			PSDB"
"SENA			PROS"
"SERGINHO DAMACENO			AVANTE"
"SERGIO ANDRADE			PHS"
"SERGIO PIMENTEL			PSL"
"SÉRGIO ZOGHBI			PTC"
"SGT BONINA - VÉI DA 12			PMN"
"SGT JAIDÊ			PSC"
"SGT MARCUS VINICIUS			PHS"
"SGT PAULA			PHS"
"SGT. SIMÕES - TOTO LEGAL			AVANTE"
"SGT. WASHINGTON PATROCÍNIO			PRP"
"SILVANA JAVED			PSL"
"SILVANA SANTOS			PMN"
"SILVANIA LEAL			PR"
"SIMONE CASTELO BRANCO			DEM"
"SIMONE DE JESUS			PSL"
"SIMONE MAGALHÃES			AVANTE"
"SIMONE ROCHA			PROS"
"SIMONE SANTANA			PSB"
"SOCORRO COSTA			PRB"
"SOCORRO FERREIRA			MDB"
"SOLANGE CAMPOS			SOLIDARIEDADE"
"SÔNIA LIMA			PHS"
"SOUZA			PRP"
"STANLEY SALGADO			PTB"
"ST GERALDO ALVES			PTC"
"ST MANOEL SOUZA GASÚ			PSB"
"SUBTENENTE ANA PAULA			PHS"
"SUEIDE DO ICEP			PSB"
"SUELEN AGUIAR			PATRI"
"TABANEZ 			PROS"
"TÁCIO ROGÉRIO DOS RODOVIÁRIOS			AVANTE"
"TALES ALVES			PODE"
"TALES RECANTO			PTC"
"TAMARA NAIZ			PC do B"
"TANCY REZENDE			PRTB"
"TÂNIA ALVES CÔELHO			PSC"
"TANIA MARQUES			PSL"
"TATHI NOLETO			PPS"
"TATIANA LEITE			PPL"
"TATIANA REHBEIN			AVANTE"
"TATI GOMES			PC do B"
"TATY CECILIANO			REDE"
"TELMA RUFINO			PROS"
"TENENTE DAVI			PTC"
"TEREZINHA DE FÁTIMA			PCO"
"TEREZINHA SILVA			PTC"
"THAIS MACHADO			PHS"
"THAMIRIS FLORA			PC do B"
"THELMA MELLO			PT"
"THEODOMIRO LUSTOSA			PTB"
"THIAGO JARJOUR			PSB"
"TIAGO LACERDA			PRB"
"TIA JOANA			PSD"
"TIANA FREIRE			PTB"
"TIA NAIR			AVANTE"
"TINA LOPES			PRP"
"TOMAZ			PATRI"
"TOM GUIMARÃES			PTC"
"TONINHO COWBOY			PPL"
"TONINHO DO PSOL			PSOL"
"TONINHO MARATONISTA HOPE HOPE			PV"
"TRANQUILLINI			PRB"
"UDSON SOARES 			PR"
"UESLLEI ALMEIDA			PTC"
"ULISSES HIGINO			PV"
"ULISSIS LIMA			PROS"
"UZIAS MATOS			DEM"
"VALDELINO BARCELOS			PP"
"VALDEMAR FELIX			PR"
"VALDEMIR VIGILANTE			PR"
"VALERIA LINHARES			PSD"
"VALÉRIO BANDA MARANATHA			PSC"
"VAL SILVA RADIALISTA			PTC"
"VANDA LAGO			PTC"
"VANDER LOPES			MDB"
"VANESSA GOUVEA			PSL"
"VANESSA VANONY			PSC"
"VANIA COELHO			PROS"
"VÂNIA GURGEL			PP"
"VAN OLIVEIRA			PRP"
"VAVÁ É LEGAL FRENTISTA			PTC"
"VAVA GARÇOM			PSD"
"VENCESLAU GUIMARAES			PROS"
"VENÊ			PPS"
"VERA SEVERINO			PTB"
"VICEMAR MEDEIROS			PTC"
"VICTOR OKUBO			PRP"
"VIGILANTE SURICATA			PDT"
"VINICIUS			DC"
"VINÓLIA PORTUGAL			MDB"
"VIRGÍLIO NETO			PSB"
"VIRIDIANO BRITO			PT"
"VÍTOR AQUINO			NOVO"
"VIVIANE			PODE"
"WALDIR CORDEIRO			REDE"
"WALTER MARCELO			DEM"
"WALTER MARQUES			PROS"
"WANDER MACIEL			PT"
"WASHINGTON LÍDER COMUNITÁRIO			SOLIDARIEDADE"
"WASHINGTON MESQUITA			PTB"
"WASHINGTON SILVA			PHS"
"WELLINGTON LUIZ			MDB"
"WELTON JOSÉ			PATRI"
"WESLEY MOURA			DC"
"WILKERSON FERREIRA			AVANTE"
"WILLIAN VINIL			MDB"
"WILSON GONÇALVES			SOLIDARIEDADE"
"WILSON MENDES			PRTB"
"WILTON BICA			MDB"
"WILYE CAMPOS			PTB"
"WINSTON			PRP"
"WINSTON COSTA			PR"
"WOLVERINE			PPL"
"WUNILBERTO MELO			AVANTE"
"YURI MAIA			PPS"
"ZAQUEU BRAGA			PSOL"
"ZÉ BIDOLA			PSD"
"ZÉ NILTON			PRB"
"ZENON LUZ			MDB"
"ZÉ WILSON			MDB"
"ZEZINHO			PATRI"
"ZILLER			PSB"
"ZITO MOURÃO			PPL"
"ZUILA			PTB"
