Nome Urna	Partido
ALBERTO FRAGA	DEM
ALEXANDRE GUERRA	NOVO
ELIANA PEDROSA	PROS
FÁTIMA SOUSA	PSOL
GENERAL PAULO CHAGAS	PRP
GUILLEN	PSTU
IBANEIS	MDB
JÚLIO MIRAGAYA	PT
RENAN ROSA	PCO
RODRIGO ROLLEMBERG	PSB
ROGÉRIO ROSSO	PSD
